trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.076035122162246,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.390183920869646,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.03621793156847,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,13,-31.6872155780887,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.33588139587131,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-212.81171983039164,"{0: 21, 1: 3, 2: 6, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.5635970875517,"{0: 6, 1: 6, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.85128224499235,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.05397661556022,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.35638079300449,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.1716084314872,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.68183455781863,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.69990796280436,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-246.15666856668463,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.31153975122905,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.033692391848504,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.7172238504877,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,2,-88.65093276476638,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.55375613118589,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.58775868798466,"{0: 8, 1: 7, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,14,10.641307320151089,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-64.83970206520019,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.25960972961882,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-110.64737543196892,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.89702403062454,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.70922921231742,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-29.00253706893659,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-170.11976971353005,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.9168009620913,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-22.519345727776994,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
